convective_date,convective_day_index,wban_id,good_row_count
2015-01-31,16466,63870,102
2015-02-01,16467,63870,1088
2015-02-02,16468,63870,947
2015-02-03,16469,63870,720
2015-02-04,16470,63870,135
2015-02-05,16471,63870,1145
2015-02-06,16472,63870,1028
2015-02-07,16473,63870,842
2015-02-08,16474,63870,1438
2015-02-09,16475,63870,180
2015-02-10,16476,63870,1440
2015-02-11,16477,63870,836
2015-02-12,16478,63870,1018
2015-02-14,16480,63870,1338
2015-02-15,16481,63870,1434
2015-02-16,16482,63870,1436
2015-02-17,16483,63870,1440
2015-02-18,16484,63870,996
2015-02-19,16485,63870,720
2015-02-20,16486,63870,67
2015-02-21,16487,63870,1440
2015-02-22,16488,63870,1440
2015-02-23,16489,63870,1440
2015-02-24,16490,63870,944
2015-02-25,16491,63870,1338
2015-02-26,16492,63870,1440
2015-02-27,16493,63870,1440
2015-02-28,16494,63870,1080
2015-01-31,16466,54779,420
2015-02-01,16467,54779,1397
2015-02-02,16468,54779,1410
2015-02-03,16469,54779,833
2015-02-04,16470,54779,835
2015-02-05,16471,54779,1427
2015-02-06,16472,54779,1424
2015-02-07,16473,54779,1440
2015-02-08,16474,54779,1423
2015-02-09,16475,54779,1392
2015-02-10,16476,54779,1399
2015-02-11,16477,54779,1426
2015-02-12,16478,54779,1401
2015-02-13,16479,54779,1427
2015-02-14,16480,54779,1418
2015-02-15,16481,54779,1376
2015-02-16,16482,54779,1421
2015-02-17,16483,54779,1428
2015-02-18,16484,54779,1405
2015-02-19,16485,54779,1324
2015-02-20,16486,54779,1423
2015-02-21,16487,54779,1440
2015-02-22,16488,54779,1408
2015-02-23,16489,54779,1410
2015-02-24,16490,54779,1424
2015-02-25,16491,54779,1406
2015-02-26,16492,54779,1428
2015-02-27,16493,54779,1422
2015-02-28,16494,54779,1005
2015-02-06,16472,63871,1042
2015-02-07,16473,63871,1435
2015-02-08,16474,63871,1419
2015-02-09,16475,63871,98
2015-01-31,16466,94037,300
2015-02-01,16467,94037,849
2015-02-02,16468,94037,934
2015-02-03,16469,94037,748
2015-02-04,16470,94037,839
2015-02-05,16471,94037,1440
2015-02-06,16472,94037,1440
2015-02-07,16473,94037,845
2015-02-08,16474,94037,1440
2015-02-09,16475,94037,1440
2015-02-10,16476,94037,1289
2015-02-11,16477,94037,990
2015-02-12,16478,94037,1440
2015-02-13,16479,94037,843
2015-02-14,16480,94037,837
2015-02-15,16481,94037,1440
2015-02-16,16482,94037,1440
2015-02-17,16483,94037,836
2015-02-18,16484,94037,1440
2015-02-19,16485,94037,846
2015-02-20,16486,94037,835
2015-02-21,16487,94037,1440
2015-02-22,16488,94037,1440
2015-02-23,16489,94037,1440
2015-02-24,16490,94037,275
2015-02-25,16491,94037,1349
2015-02-26,16492,94037,1393
2015-02-27,16493,94037,840
2015-02-28,16494,94037,1140
2015-01-31,16466,03032,360
2015-02-01,16467,03032,1440
2015-02-02,16468,03032,1440
2015-02-03,16469,03032,840
2015-02-04,16470,03032,837
2015-02-05,16471,03032,1396
2015-02-06,16472,03032,1436
2015-02-07,16473,03032,1440
2015-02-08,16474,03032,755
2015-02-09,16475,03032,260
2015-02-10,16476,03032,1415
2015-02-11,16477,03032,1436
2015-02-12,16478,03032,1440
2015-02-13,16479,03032,1436
2015-02-14,16480,03032,1430
2015-02-15,16481,03032,1433
2015-02-16,16482,03032,1440
2015-02-17,16483,03032,1106
2015-02-18,16484,03032,1175
2015-02-19,16485,03032,1435
2015-02-20,16486,03032,1431
2015-02-21,16487,03032,1425
2015-02-22,16488,03032,1440
2015-02-23,16489,03032,1440
2015-02-24,16490,03032,1427
2015-02-25,16491,03032,1360
2015-02-26,16492,03032,1438
2015-02-27,16493,03032,1440
2015-02-28,16494,03032,1068
2015-02-09,16475,53843,559
2015-02-14,16480,53843,231
2015-02-25,16491,53843,32
2015-01-31,16466,94993,360
2015-02-01,16467,94993,1440
2015-02-02,16468,94993,1440
2015-02-03,16469,94993,839
2015-02-04,16470,94993,760
2015-02-05,16471,94993,1434
2015-02-06,16472,94993,1440
2015-02-07,16473,94993,1440
2015-02-08,16474,94993,1440
2015-02-09,16475,94993,1440
2015-02-10,16476,94993,1440
2015-02-11,16477,94993,1440
2015-02-12,16478,94993,1440
2015-02-13,16479,94993,1440
2015-02-14,16480,94993,1440
2015-02-15,16481,94993,1440
2015-02-16,16482,94993,1440
2015-02-17,16483,94993,1440
2015-02-18,16484,94993,1435
2015-02-19,16485,94993,820
2015-02-20,16486,94993,1437
2015-02-21,16487,94993,1440
2015-02-22,16488,94993,1440
2015-02-23,16489,94993,1440
2015-02-24,16490,94993,1435
2015-02-25,16491,94993,1440
2015-02-26,16492,94993,1440
2015-02-27,16493,94993,1440
2015-02-28,16494,94993,1080
2015-01-31,16466,12832,420
2015-02-01,16467,12832,1440
2015-02-02,16468,12832,1440
2015-02-03,16469,12832,841
2015-02-04,16470,12832,839
2015-02-05,16471,12832,1440
2015-02-06,16472,12832,1440
2015-02-07,16473,12832,1440
2015-02-08,16474,12832,1440
2015-02-09,16475,12832,1440
2015-02-10,16476,12832,1440
2015-02-11,16477,12832,1440
2015-02-12,16478,12832,1440
2015-02-13,16479,12832,1436
2015-02-14,16480,12832,1440
