time_str,time_seconds,wban_id,name,state,knots,gust_knots,near_any_wind_reports,near_hurricane_or_tropical_storm
2003-06-04 02:13:00 UTC,1054692780,23034,SAN ANGELO MATHIS FIELD,TX,50,69,false,false
2003-06-04 02:14:00 UTC,1054692840,23034,SAN ANGELO MATHIS FIELD,TX,65,75,false,false
2003-06-04 02:15:00 UTC,1054692900,23034,SAN ANGELO MATHIS FIELD,TX,64,68,false,false
2003-08-09 02:27:00 UTC,1060396020,24143,GREAT FALLS INTL AP,MT,39,72,false,false
2003-08-22 01:51:00 UTC,1061517060,03945,COLUMBIA REGIONAL AP,MO,42,70,false,false
2004-05-23 22:47:00 UTC,1085352420,94847,DETROIT METROPOLITAN AP,MI,44,68,false,false
2004-06-04 00:56:00 UTC,1086310560,24156,POCATELLO REGIONAL AP,ID,53,73,false,false
2004-07-22 22:03:00 UTC,1090533780,23065,GOODLAND RENNER FIELD,KS,47,66,false,false
2004-08-02 04:50:00 UTC,1091422200,14936,HURON REGIONAL AP,SD,53,67,false,false
2004-08-02 04:55:00 UTC,1091422500,14936,HURON REGIONAL AP,SD,56,67,false,false
2005-03-08 15:49:00 UTC,1110296940,13748,WILMINGTON INTL AP,NC,49,77,false,false
2005-05-24 19:19:00 UTC,1116962340,12854,ORLANDO SANFORD AP,FL,37,67,false,false
2005-06-02 01:22:00 UTC,1117675320,94055,BAKER MUNICIPAL AIRPOPRT,MT,48,75,false,false
2005-06-19 06:23:00 UTC,1119162180,24012,DICKINSON MUNICIPAL AP,ND,55,73,false,false
2005-06-20 08:45:00 UTC,1119257100,24037,MILES CITY F WILEY FIELD,MT,49,71,false,false
2005-06-20 08:46:00 UTC,1119257160,24037,MILES CITY F WILEY FIELD,MT,59,71,false,false
2005-07-01 04:20:00 UTC,1120191600,13981,CHANUTE MARTIN JOHNSON AIRPORT,KS,48,69,false,false
2005-07-03 01:17:00 UTC,1120353420,94037,BUFFALO (ASOS),SD,54,75,false,false
2005-07-03 01:18:00 UTC,1120353480,94037,BUFFALO (ASOS),SD,59,75,false,false
2005-07-10 02:40:00 UTC,1120963200,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,12,88,false,false
2005-07-10 02:41:00 UTC,1120963260,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,17,87,false,false
2005-07-10 02:44:00 UTC,1120963440,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,14,87,false,false
2005-07-10 02:45:00 UTC,1120963500,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,17,87,false,false
2005-07-10 02:46:00 UTC,1120963560,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,20,86,false,false
2005-07-10 02:47:00 UTC,1120963620,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,17,87,false,false
2005-07-21 01:44:00 UTC,1121910240,24032,VALENTINE MILLER FIELD,NE,52,69,false,false
2005-07-23 23:11:00 UTC,1122160260,13964,FORT SMITH REGIONAL AP,AR,44,69,false,false
