begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,id,name,status,knots,max_radius_34_knot_winds_nmiles,begin_lat,begin_lon,end_lat,end_lon
2003-04-18 00:00:00 UTC,1050624000,2003-04-18 06:00:00 UTC,1050645600,AL012003,ANA,EX,30,-999,29.1,-66.2,29.9,-66.0
2003-04-18 06:00:00 UTC,1050645600,2003-04-18 12:00:00 UTC,1050667200,AL012003,ANA,EX,30,-999,29.9,-66.0,30.8,-65.8
2003-04-18 12:00:00 UTC,1050667200,2003-04-18 18:00:00 UTC,1050688800,AL012003,ANA,EX,30,-999,30.8,-65.8,31.9,-66.3
2003-04-18 18:00:00 UTC,1050688800,2003-04-19 00:00:00 UTC,1050710400,AL012003,ANA,EX,30,-999,31.9,-66.3,33.0,-66.9
2003-04-19 00:00:00 UTC,1050710400,2003-04-19 06:00:00 UTC,1050732000,AL012003,ANA,EX,35,-999,33.0,-66.9,33.8,-67.6
2003-04-19 06:00:00 UTC,1050732000,2003-04-19 12:00:00 UTC,1050753600,AL012003,ANA,EX,35,-999,33.8,-67.6,34.5,-68.6
2003-04-19 12:00:00 UTC,1050753600,2003-04-19 18:00:00 UTC,1050775200,AL012003,ANA,EX,35,-999,34.5,-68.6,34.3,-69.1
2003-04-19 18:00:00 UTC,1050775200,2003-04-20 00:00:00 UTC,1050796800,AL012003,ANA,EX,40,-999,34.3,-69.1,33.6,-69.0
2003-04-20 00:00:00 UTC,1050796800,2003-04-20 06:00:00 UTC,1050818400,AL012003,ANA,EX,40,-999,33.6,-69.0,32.7,-68.9
2003-04-20 06:00:00 UTC,1050818400,2003-04-20 12:00:00 UTC,1050840000,AL012003,ANA,SS,45,-999,32.7,-68.9,32.0,-68.2
2003-04-20 12:00:00 UTC,1050840000,2003-04-20 18:00:00 UTC,1050861600,AL012003,ANA,SS,45,-999,32.0,-68.2,31.7,-67.3
2003-04-20 18:00:00 UTC,1050861600,2003-04-21 00:00:00 UTC,1050883200,AL012003,ANA,SS,50,-999,31.7,-67.3,31.4,-66.4
2003-04-21 00:00:00 UTC,1050883200,2003-04-21 06:00:00 UTC,1050904800,AL012003,ANA,TS,50,-999,31.4,-66.4,30.6,-65.8
2003-04-21 06:00:00 UTC,1050904800,2003-04-21 12:00:00 UTC,1050926400,AL012003,ANA,TS,50,-999,30.6,-65.8,30.0,-64.8
2003-04-21 12:00:00 UTC,1050926400,2003-04-21 18:00:00 UTC,1050948000,AL012003,ANA,TS,50,-999,30.0,-64.8,29.4,-63.1
2003-04-21 18:00:00 UTC,1050948000,2003-04-22 00:00:00 UTC,1050969600,AL012003,ANA,TS,50,-999,29.4,-63.1,29.4,-61.5
2003-04-22 00:00:00 UTC,1050969600,2003-04-22 06:00:00 UTC,1050991200,AL012003,ANA,TS,50,-999,29.4,-61.5,29.5,-60.1
2003-04-22 06:00:00 UTC,1050991200,2003-04-22 12:00:00 UTC,1051012800,AL012003,ANA,TS,50,-999,29.5,-60.1,29.6,-58.5
2003-04-22 12:00:00 UTC,1051012800,2003-04-22 18:00:00 UTC,1051034400,AL012003,ANA,TS,45,-999,29.6,-58.5,29.7,-56.6
2003-04-22 18:00:00 UTC,1051034400,2003-04-23 00:00:00 UTC,1051056000,AL012003,ANA,TS,45,-999,29.7,-56.6,30.0,-54.7
2003-04-23 00:00:00 UTC,1051056000,2003-04-23 06:00:00 UTC,1051077600,AL012003,ANA,TS,40,-999,30.0,-54.7,30.6,-53.0
2003-04-23 06:00:00 UTC,1051077600,2003-04-23 12:00:00 UTC,1051099200,AL012003,ANA,TS,40,-999,30.6,-53.0,31.4,-51.5
2003-04-23 12:00:00 UTC,1051099200,2003-04-23 18:00:00 UTC,1051120800,AL012003,ANA,TS,40,-999,31.4,-51.5,31.9,-50.6
2003-04-23 18:00:00 UTC,1051120800,2003-04-24 00:00:00 UTC,1051142400,AL012003,ANA,TS,35,-999,31.9,-50.6,32.1,-49.6
2003-04-24 00:00:00 UTC,1051142400,2003-04-24 06:00:00 UTC,1051164000,AL012003,ANA,TS,35,-999,32.1,-49.6,32.0,-48.7
2003-04-24 06:00:00 UTC,1051164000,2003-04-24 12:00:00 UTC,1051185600,AL012003,ANA,EX,35,-999,32.0,-48.7,31.8,-47.8
2003-04-24 12:00:00 UTC,1051185600,2003-04-24 18:00:00 UTC,1051207200,AL012003,ANA,EX,35,-999,31.8,-47.8,31.5,-46.6
2003-04-24 18:00:00 UTC,1051207200,2003-04-25 00:00:00 UTC,1051228800,AL012003,ANA,EX,35,-999,31.5,-46.6,31.5,-45.4
2003-04-25 00:00:00 UTC,1051228800,2003-04-25 06:00:00 UTC,1051250400,AL012003,ANA,EX,35,-999,31.5,-45.4,31.6,-44.2
2003-04-25 06:00:00 UTC,1051250400,2003-04-25 12:00:00 UTC,1051272000,AL012003,ANA,EX,35,-999,31.6,-44.2,31.7,-43.1
2003-04-25 12:00:00 UTC,1051272000,2003-04-25 18:00:00 UTC,1051293600,AL012003,ANA,EX,30,-999,31.7,-43.1,31.8,-42.1
2003-04-25 18:00:00 UTC,1051293600,2003-04-26 00:00:00 UTC,1051315200,AL012003,ANA,EX,30,-999,31.8,-42.1,31.9,-40.8
2003-04-26 00:00:00 UTC,1051315200,2003-04-26 06:00:00 UTC,1051336800,AL012003,ANA,EX,35,-999,31.9,-40.8,32.3,-38.4
2003-04-26 06:00:00 UTC,1051336800,2003-04-26 12:00:00 UTC,1051358400,AL012003,ANA,EX,35,-999,32.3,-38.4,32.9,-35.6
2003-04-26 12:00:00 UTC,1051358400,2003-04-26 18:00:00 UTC,1051380000,AL012003,ANA,EX,40,-999,32.9,-35.6,33.6,-32.8
2003-04-26 18:00:00 UTC,1051380000,2003-04-27 00:00:00 UTC,1051401600,AL012003,ANA,EX,40,-999,33.6,-32.8,34.4,-29.2
2003-04-27 00:00:00 UTC,1051401600,2003-04-27 06:00:00 UTC,1051423200,AL012003,ANA,EX,40,-999,34.4,-29.2,35.3,-25.8
2003-04-27 06:00:00 UTC,1051423200,2003-04-27 12:00:00 UTC,1051444800,AL012003,ANA,EX,40,-999,35.3,-25.8,36.1,-22.4
2003-05-19 18:00:00 UTC,1053367200,2003-05-20 00:00:00 UTC,1053388800,EP012003,ANDRES,TD,30,-999,9.6,-102.2,9.6,-103.1
2003-05-20 00:00:00 UTC,1053388800,2003-05-20 06:00:00 UTC,1053410400,EP012003,ANDRES,TD,40,-999,9.6,-103.1,9.7,-104.0
2003-05-20 06:00:00 UTC,1053410400,2003-05-20 12:00:00 UTC,1053432000,EP012003,ANDRES,TS,45,-999,9.7,-104.0,9.7,-105.0
2003-05-20 12:00:00 UTC,1053432000,2003-05-20 18:00:00 UTC,1053453600,EP012003,ANDRES,TS,50,-999,9.7,-105.0,9.7,-106.1
2003-05-20 18:00:00 UTC,1053453600,2003-05-21 00:00:00 UTC,1053475200,EP012003,ANDRES,TS,50,-999,9.7,-106.1,9.7,-107.3
2003-05-21 00:00:00 UTC,1053475200,2003-05-21 06:00:00 UTC,1053496800,EP012003,ANDRES,TS,50,-999,9.7,-107.3,9.8,-108.6
2003-05-21 06:00:00 UTC,1053496800,2003-05-21 12:00:00 UTC,1053518400,EP012003,ANDRES,TS,50,-999,9.8,-108.6,10.1,-110.2
2003-05-21 12:00:00 UTC,1053518400,2003-05-21 18:00:00 UTC,1053540000,EP012003,ANDRES,TS,45,-999,10.1,-110.2,10.4,-111.9
2003-05-21 18:00:00 UTC,1053540000,2003-05-22 00:00:00 UTC,1053561600,EP012003,ANDRES,TS,45,-999,10.4,-111.9,10.5,-113.5
2003-05-22 00:00:00 UTC,1053561600,2003-05-22 06:00:00 UTC,1053583200,EP012003,ANDRES,TS,50,-999,10.5,-113.5,10.8,-115.2
2003-05-22 06:00:00 UTC,1053583200,2003-05-22 12:00:00 UTC,1053604800,EP012003,ANDRES,TS,50,-999,10.8,-115.2,11.1,-117.0
2003-05-22 12:00:00 UTC,1053604800,2003-05-22 18:00:00 UTC,1053626400,EP012003,ANDRES,TS,50,-999,11.1,-117.0,11.5,-118.8
2003-05-22 18:00:00 UTC,1053626400,2003-05-23 00:00:00 UTC,1053648000,EP012003,ANDRES,TS,45,-999,11.5,-118.8,11.8,-120.7
2003-05-23 00:00:00 UTC,1053648000,2003-05-23 06:00:00 UTC,1053669600,EP012003,ANDRES,TS,45,-999,11.8,-120.7,12.2,-122.4
2003-05-23 06:00:00 UTC,1053669600,2003-05-23 12:00:00 UTC,1053691200,EP012003,ANDRES,TS,45,-999,12.2,-122.4,12.5,-124.1
2003-05-23 12:00:00 UTC,1053691200,2003-05-23 18:00:00 UTC,1053712800,EP012003,ANDRES,TS,45,-999,12.5,-124.1,12.9,-125.9
2003-05-23 18:00:00 UTC,1053712800,2003-05-24 00:00:00 UTC,1053734400,EP012003,ANDRES,TS,45,-999,12.9,-125.9,13.4,-127.6
2003-05-24 00:00:00 UTC,1053734400,2003-05-24 06:00:00 UTC,1053756000,EP012003,ANDRES,TS,45,-999,13.4,-127.6,13.8,-129.1
