begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,kind,speed,speed_type,source,begin_lat,begin_lon,end_lat,end_lon
2003-02-22 06:18:00 UTC,1045894680,2003-02-22 06:18:00 UTC,1045894680,Thunderstorm Wind,65,gust,estimated,33.95,-84.55,33.95,-84.55
2003-03-06 02:30:00 UTC,1046917800,2003-03-06 02:30:00 UTC,1046917800,Thunderstorm Wind,65,gust,estimated,34.51667,-83,34.51667,-83
2003-03-06 02:30:00 UTC,1046917800,2003-03-06 02:30:00 UTC,1046917800,Thunderstorm Wind,65,gust,estimated,34.51667,-83.01667,34.51667,-83.01667
2003-03-06 02:31:00 UTC,1046917860,2003-03-06 02:31:00 UTC,1046917860,Thunderstorm Wind,65,gust,estimated,34.5,-82.95,34.5,-82.95
2003-03-13 23:40:00 UTC,1047598800,2003-03-13 23:40:00 UTC,1047598800,Thunderstorm Wind,65,gust,estimated,26.26667,-80.21667,26.26667,-80.21667
2003-03-15 17:05:00 UTC,1047747900,2003-03-15 17:05:00 UTC,1047747900,Thunderstorm Wind,70,gust,estimated,26.31667,-80.1,26.31667,-80.1
2003-03-17 20:28:00 UTC,1047932880,2003-03-17 20:28:00 UTC,1047932880,Thunderstorm Wind,70,gust,estimated,25.8,-80.11667,25.8,-80.11667
2003-03-17 20:30:00 UTC,1047933000,2003-03-17 20:30:00 UTC,1047933000,Thunderstorm Wind,80,gust,estimated,26.23333,-80.11667,26.23333,-80.11667
2003-03-19 11:40:00 UTC,1048074000,2003-03-19 11:40:00 UTC,1048074000,Thunderstorm Wind,65,gust,estimated,36.21667,-85.5,36.21667,-85.5
2003-03-19 12:00:00 UTC,1048075200,2003-03-19 12:00:00 UTC,1048075200,Thunderstorm Wind,88,sustained,measured,35.51667,-84.8,35.51667,-84.8
2003-03-19 12:45:00 UTC,1048077900,2003-03-19 12:45:00 UTC,1048077900,Thunderstorm Wind,65,gust,estimated,35.78333,-85.61667,35.78333,-85.61667
2003-03-19 12:45:00 UTC,1048077900,2003-03-19 12:45:00 UTC,1048077900,Thunderstorm Wind,70,gust,estimated,35.78333,-85.61667,35.78333,-85.61667
2003-03-19 12:50:00 UTC,1048078200,2003-03-19 12:50:00 UTC,1048078200,Thunderstorm Wind,70,gust,estimated,36.56667,-85.13333,36.56667,-85.13333
2003-03-19 13:00:00 UTC,1048078800,2003-03-19 13:00:00 UTC,1048078800,Thunderstorm Wind,75,gust,estimated,36.68333,-85.13333,36.68333,-85.13333
2003-04-04 15:12:00 UTC,1049469120,2003-04-04 15:17:00 UTC,1049469420,Thunderstorm Wind,87,gust,estimated,40.26667,-87.6,40.26667,-87.6
2003-04-04 21:15:00 UTC,1049490900,2003-04-04 21:15:00 UTC,1049490900,Thunderstorm Wind,65,gust,estimated,40.1,-85.68333,40.1,-85.68333
2003-04-06 07:03:00 UTC,1049612580,2003-04-06 07:10:00 UTC,1049613000,Thunderstorm Wind,72,gust,measured,34.88333,-98.23333,34.88333,-98.23333
