begin_time_str,begin_time_seconds,end_time_str,end_time_seconds,kind,speed,speed_type,source,begin_lat,begin_lon,end_lat,end_lon,reasons
2003-01-22 05:45:00 UTC,1043214300,2003-01-22 06:15:00 UTC,1043216100,Thunderstorm Wind,65,E,,32.65,-85.36667,32.65,-85.36667,no_lightning
2003-02-06 14:10:00 UTC,1044540600,2003-02-06 14:10:00 UTC,1044540600,Thunderstorm Wind,75,gust,estimated,30,-91.81667,30,-91.81667,no_lightning
2003-02-21 03:47:00 UTC,1045799220,2003-02-21 03:50:00 UTC,1045799400,Thunderstorm Wind,90,gust,estimated,30.36667,-86.66667,30.36667,-86.66667,mucape<1;no_lightning
2003-02-22 11:32:00 UTC,1045913520,2003-02-22 11:32:00 UTC,1045913520,Thunderstorm Wind,70,gust,estimated,35.7,-79.83333,35.7,-79.83333,no_lightning
2003-02-22 17:15:00 UTC,1045934100,2003-02-22 17:15:00 UTC,1045934100,Thunderstorm Wind,80,gust,estimated,37.73333,-82.76667,37.73333,-82.76667,no_lightning
2003-03-12 22:30:00 UTC,1047508200,2003-03-12 22:30:00 UTC,1047508200,Thunderstorm Wind,80,gust,estimated,38.46667,-93.2,38.46667,-93.2,no_lightning
2003-03-12 23:50:00 UTC,1047513000,2003-03-12 23:50:00 UTC,1047513000,Thunderstorm Wind,65,gust,estimated,37.21667,-93.3,37.21667,-93.3,no_lightning
2003-03-13 00:00:00 UTC,1047513600,2003-03-13 00:00:00 UTC,1047513600,Thunderstorm Wind,80,gust,estimated,37.56667,-93,37.56667,-93,mucape_or_lightning_unavailable
2003-03-13 00:05:00 UTC,1047513900,2003-03-13 00:05:00 UTC,1047513900,Thunderstorm Wind,65,gust,estimated,36.93333,-93.06667,36.93333,-93.06667,mucape_or_lightning_unavailable
2003-03-13 00:10:00 UTC,1047514200,2003-03-13 00:10:00 UTC,1047514200,Thunderstorm Wind,65,gust,estimated,37.5,-93,37.5,-93,mucape_or_lightning_unavailable
2003-03-19 05:35:00 UTC,1048052100,2003-03-19 05:35:00 UTC,1048052100,Thunderstorm Wind,75,gust,estimated,37.65,-93.06667,37.65,-93.06667,no_lightning
2003-03-19 18:40:00 UTC,1048099200,2003-03-19 18:40:00 UTC,1048099200,Thunderstorm Wind,80,gust,estimated,28.9,-81.23333,28.9,-81.23333,no_lightning
2003-03-25 18:30:00 UTC,1048617000,2003-03-25 18:40:00 UTC,1048617600,Thunderstorm Wind,75,gust,estimated,29.78333,-98.8,29.78333,-98.8,no_lightning
2003-03-25 20:50:00 UTC,1048625400,2003-03-25 21:00:00 UTC,1048626000,Thunderstorm Wind,75,gust,estimated,28.68333,-99.98333,28.68333,-99.73333,no_lightning
2003-03-25 20:50:00 UTC,1048625400,2003-03-25 21:15:00 UTC,1048626900,Thunderstorm Wind,75,gust,estimated,28.61667,-99.96667,28.56667,-99.56667,no_lightning
2003-03-26 01:15:00 UTC,1048641300,2003-03-26 01:15:00 UTC,1048641300,Thunderstorm Wind,66,gust,measured,28.4,-97.75,28.4,-97.75,no_lightning
2003-04-05 00:05:00 UTC,1049501100,2003-04-05 00:05:00 UTC,1049501100,Thunderstorm Wind,80,gust,estimated,38,-84.73333,38,-84.73333,mucape_or_lightning_unavailable
2003-04-05 03:10:00 UTC,1049512200,2003-04-05 03:10:00 UTC,1049512200,Thunderstorm Wind,70,gust,estimated,36.86667,-84.93333,36.86667,-84.93333,mucape_or_lightning_unavailable
2003-04-05 16:28:00 UTC,1049560080,2003-04-05 16:28:00 UTC,1049560080,Thunderstorm Wind,71.3,gust,measured,33.11667,-99.75,33.11667,-99.75,mucape_or_lightning_unavailable
2003-04-05 17:14:00 UTC,1049562840,2003-04-05 17:14:00 UTC,1049562840,Thunderstorm Wind,70,gust,estimated,33.01667,-99.08333,33.01667,-99.08333,mucape_or_lightning_unavailable
2003-04-05 18:18:00 UTC,1049566680,2003-04-05 18:18:00 UTC,1049566680,Thunderstorm Wind,69,sustained,measured,33.63333,-97.15,33.63333,-97.15,mucape_or_lightning_unavailable
2003-04-05 19:40:00 UTC,1049571600,2003-04-05 19:40:00 UTC,1049571600,Thunderstorm Wind,69,sustained,estimated,33.13333,-95.6,33.13333,-95.6,mucape_or_lightning_unavailable
2003-04-06 11:45:00 UTC,1049629500,2003-04-06 11:45:00 UTC,1049629500,Thunderstorm Wind,65,sustained,estimated,31.83333,-89.3,31.83333,-89.3,no_lightning
2003-04-06 11:45:00 UTC,1049629500,2003-04-06 11:45:00 UTC,1049629500,Thunderstorm Wind,65,sustained,estimated,32.48333,-90.76667,32.48333,-90.76667,no_lightning
2003-04-06 12:00:00 UTC,1049630400,2003-04-06 12:00:00 UTC,1049630400,Thunderstorm Wind,65,sustained,estimated,31.71667,-89.13333,31.71667,-89.13333,no_lightning
2003-04-06 12:35:00 UTC,1049632500,2003-04-06 12:35:00 UTC,1049632500,Thunderstorm Wind,69,sustained,estimated,32.41667,-89.95,32.41667,-89.95,no_lightning
2003-04-15 18:00:00 UTC,1050429600,2003-04-15 18:00:00 UTC,1050429600,Thunderstorm Wind,65,gust,estimated,33.66667,-101.25,33.66667,-101.25,no_lightning
2003-04-15 18:09:00 UTC,1050430140,2003-04-15 18:09:00 UTC,1050430140,Thunderstorm Wind,71,gust,estimated,33.48333,-100.85,33.48333,-100.85,no_lightning
