wban_id,name,state,lat,lon,ndays,nhours_with_gusts,nfourhours_with_gusts,ndays_with_gusts,nhours_with_sig_gusts,nfourhours_with_sig_gusts,ndays_with_sig_gusts,gust_hours_per_year,gust_fourhours_per_year,gust_days_per_year,sig_gust_hours_per_year,sig_gust_fourhours_per_year,sig_gust_days_per_year,nhours_with_est_reports,nfourhours_with_est_reports,ndays_with_est_reports,nhours_with_est_sig_reports,nfourhours_with_est_sig_reports,ndays_with_est_sig_reports,mean_est_reports_in_hours_with_est_reports,mean_est_reports_in_fourhours_with_est_reports,mean_est_reports_in_convective_days_with_est_reports,mean_est_sig_reports_in_hours_with_est_sig_reports,mean_est_sig_reports_in_fourhours_with_est_sig_reports,mean_est_sig_reports_in_convective_days_with_est_sig_reports,mean_est_reports_in_report_hours_with_gusts,mean_est_reports_in_report_fourhours_with_gusts,mean_est_reports_in_report_convective_days_with_gusts,mean_est_sig_reports_in_report_hours_with_sig_gusts,mean_est_sig_reports_in_report_fourhours_with_sig_gusts,mean_est_sig_reports_in_report_convective_days_with_sig_gusts
94037,BUFFALO (ASOS),SD,45.604294,-103.546996,6028,79,69,65,8,8,8,4.7867866,4.1808643,3.9384954,0.4847379,0.4847379,0.4847379,76,62,59,3,2,2,1.2894737,1.548387,1.6271186,1.3333334,2.0,2.0,1.0769231,1.1538461,1.5,1.0,1.0,3.0
93997,RUSSELL MUNICIPAL AP,KS,38.87491,-98.80920666666667,6150,72,65,59,11,11,10,4.276098,3.8603659,3.5040245,0.65329266,0.65329266,0.59390247,160,125,113,22,20,20,1.63125,2.064,2.283186,1.2272727,1.3,1.3,1.8461539,2.2333333,3.0,1.0,1.5,1.25
03013,LAMAR MUNICIPAL AP,CO,38.070593333333335,-102.68786333333333,6150,70,60,56,3,3,3,4.157317,3.5634146,3.3258536,0.17817073,0.17817073,0.17817073,22,21,21,2,2,2,1.2272727,1.2380953,1.2380953,1.0,1.0,1.0,1.1666666,1.5714285,1.5,1.0,1.0,1.0
03026,BURLINGTON CARSON AP,CO,39.24472,-102.28417,5936,67,59,54,3,3,3,4.1225996,3.6303487,3.3226922,0.184594,0.184594,0.184594,66,60,59,23,22,22,1.3030303,1.4333333,1.4576272,1.3043479,1.3636364,1.3636364,1.125,1.5555556,1.4545455,1.0,1.0,1.0
23064,GARDEN CITY REGIONAL AP,KS,37.92722,-100.72472,6150,67,55,51,6,4,4,3.9791462,3.2664635,3.0289025,0.35634145,0.23756097,0.23756097,141,123,108,52,47,43,1.6595745,1.902439,2.1666667,1.5769231,1.7446809,1.9069767,2.0384614,2.3448277,2.6451614,1.3333334,2.0,2.0
94056,FAITH MUNICIPAL AP,SD,45.032601,-102.01999,3379,35,30,30,3,3,3,3.783294,3.2428234,3.2428234,0.32428232,0.32428232,0.32428232,49,43,38,3,3,3,1.2857143,1.4651163,1.6315789,1.0,1.0,1.0,1.4166666,1.8125,1.9411764,1.0,1.0,1.0
23067,LA JUNTA MUNICIPAL AP,CO,38.04949,-103.51335,6150,62,60,60,1,1,1,3.6821952,3.5634146,3.5634146,0.059390243,0.059390243,0.059390243,23,23,21,4,4,4,1.0434783,1.0434783,1.1428572,1.0,1.0,1.0,1.0,1.0,1.2857143,1.0,1.0,1.0
23065,GOODLAND RENNER FIELD,KS,39.36833666666667,-101.69506666666668,6726,63,55,52,3,3,3,3.421164,2.9867306,2.823818,0.16291258,0.16291258,0.16291258,136,118,111,38,35,35,1.5220588,1.7457627,1.8558558,1.5526316,1.6571429,1.6571429,2.65,2.7142856,2.925926,2.5,2.5,3.0
94040,MCCOOK MUNICIPAL AP,NE,40.20639,-100.59139,5936,54,49,47,2,2,2,3.3226922,3.0150354,2.8919728,0.12306267,0.12306267,0.12306267,83,69,68,28,23,23,1.3855422,1.6521739,1.6764706,1.1071428,1.3043479,1.3043479,2.0769231,2.1764705,2.0526316,1.0,1.0,1.0
24090,RAPID CITY REGIONAL AP,SD,44.0439425,-103.05381,6940,59,50,48,4,4,4,3.1051514,2.631484,2.5262249,0.21051873,0.21051873,0.21051873,158,131,121,12,11,11,1.3797468,1.6564885,1.7933885,1.0,1.0909091,1.0909091,2.0,2.3529413,2.3,1.0,1.0,1.0
24030,SIDNEY MUNICIPAL AP,NE,41.10069333333333,-102.98524666666667,5936,49,44,41,5,5,5,3.0150354,2.7073786,2.5227847,0.30765668,0.30765668,0.30765668,45,42,40,4,4,4,1.2888889,1.3809524,1.45,1.25,1.25,1.25,1.125,1.2,1.1818181,1.0,1.0,1.0
24017,CHADRON MUNICIPAL AP,NE,42.83746666666667,-103.09622,5936,47,42,39,5,5,5,2.8919728,2.584316,2.399722,0.30765668,0.30765668,0.30765668,48,43,41,1,1,1,1.3125,1.4651163,1.5365853,1.0,1.0,1.0,1.7142857,1.875,1.9,1.0,1.0,1.0
93010,LIMON,CO,39.27444,-103.66645666666666,5936,47,39,36,2,2,2,2.8919728,2.399722,2.215128,0.12306267,0.12306267,0.12306267,13,13,12,2,2,2,1.1538461,1.1538461,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93990,HILL CITY MUNICIPAL AP,KS,39.37508,-99.82977,5936,47,40,37,6,5,5,2.8919728,2.4612534,2.2766593,0.369188,0.30765668,0.30765668,93,80,75,30,26,26,1.3118279,1.4875,1.5866667,1.2333333,1.3461539,1.3461539,1.6153846,2.0,2.1,2.0,2.0,2.0
24150,LIVINGSTON MISSION FIELD,MT,45.698299999999996,-110.44080000000001,3684,28,26,26,2,2,2,2.7760587,2.5777688,2.5777688,0.1982899,0.1982899,0.1982899,4,4,4,0,0,0,1.0,1.0,1.0,NaN,NaN,NaN,1.0,1.0,1.0,NaN,NaN,NaN
23047,AMARILLO INTERNATIONAL AIRPORT,TX,35.2295,-101.7042,6940,52,44,39,6,4,3,2.7367435,2.315706,2.0525577,0.3157781,0.21051873,0.15788905,145,122,109,24,22,22,2.2344828,2.6393442,2.9541285,2.2916667,2.4545455,2.4545455,3.9,4.3636365,5.142857,4.0,4.0,4.0
